Акредитација,Шифра,Назив,Смерови,Семестри,Семестар,Фонд,Групе Пр,Групе В,Групе Пк,Ток,Предавања,Фонд предавања, ,Вежбе,Фонд вежбе,,Практикум,,Напомена,Бр. распоређ. студената 2021,,,,,
Основне академске студије 2015,Р292,Алати за развој софтвера,"ИПВ(17), ИПК(15), ИПК(17), ИПР(15), ИПР(17)",7,Јесењи семестар,2 + 3,1,1,0,4и,Иван Чукић,2,4и-в,Петар Ђорђевић,3,,,,,103,,,,,
Основне академске студије 2015,Р275,Истраживање података 2,"ИПВ(17), ИПК(15), ИПК(17), ИПР(15), ИПР(17)",7,Јесењи семестар,2 + 3,1,2,0,4и,Ненад Митић,2,4и1,Александар Вељковић,3,,,"Истраживање података Б (РМ374), 2015 Истраживање података 2 (Р374Б), 2015",,6,,,,,
,,,,,,2 + 3,1,2,0,,,,4и2,Александар Вељковић,3,,,,,,,,,,
Основне академске студије 2015,Р291,Програмирање за веб,"ИПВ(17), ИПК(15), ИПК(17), ИПР(15), ИПР(17)",7,Јесењи семестар,2 + 3,1,2,0,4и,Иван Чукић,2,4и1,Иван Поп-Јованов,3,,,,,40,,,,,
,,,,,,2 + 3,1,2,0,,,,4и2,Иван Поп-Јованов,3,,,,,,,,,,
Основне академске студије 2015,Р269,Рачунарска интелигенција,"ИПВ(17), ИПК(15), ИПК(17), ИПР(15), ИПР(17)",7,Јесењи семестар,2 + 3,1,3,0,4и,Александар Картељ,2,4и1а,Стефан Капунац,3,,,,,97,,,,,
,,,,,,2 + 3,1,3,0,,,,4и1б,Стефан Капунац,3,,,,,,,,,,
,,,,,,2 + 3,1,3,0,,,,4и2,Денис Аличић,3,,,,,,,,,,
Основне академске студије 2015,Р273,Пројектовање база података,"И.15, И.17",8,Пролећни семестар,2 + 3,2,4,0,4и1,Саша Малков,2,4и1а,Ирена Васиљевић,3,,,"Пројектовање база података (Р371), 2015",,144,,,,,
,,,,,,2 + 3,2,4,0,4и2,Саша Малков,2,4и1б,Никола Катић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,4и2а,Ирена Васиљевић,3,,,,,,,,,,
,,,,,,2 + 3,2,4,0,,,,4и2б,Никола Катић,3,,,,,,,,,,
Основне академске студије 2015,Р246,Функционално програмирање,"ИПВ(17), ИПК(15), ИПК(17), ИПР(15), ИПР(17)",8,Пролећни семестар,2 + 3,1,2,0,4и,Иван Чукић,2,4и1,Иван Ристовић,3,,,"Функционално програмирање (Р344), 2015",,131,,,,,
,,,,,,2 + 3,1,2,0,,,,4и2,Стефан Капунац,3,,,,,,,,,,
Основне академске студије 2015,Р241,Конструкција компилатора,,8,Пролећни семестар,2 + 3,1,2,0,4и,Милена Вујошевић Јаничић,2,4и1,Страхиња Станојевић,3,,,,,,,,,,
,,,,,,2 + 3,,,,,,,4и2,Страхиња Станојевић,3,,,,,,,,,,
Основне академске студије 2015,О21,Историја и филозофија рачунарства,ИПВ(17),8,Пролећни семестар,2 + 0,1,0,0,4и,Сташа Вујичић Станковић,2,,,0,,,,,6,,,,,
Основне академске студије 2015,О22,Рачунарство и друштво,ИПВ(17),8,Пролећни семестар,2 + 0,1,0,0,4и,Сана Стојановић Ђурђевић,2,,,0,,,,,26,,,,,
Основне академске студије 2015,О12,Методологија стручног и научног рада,"И.15, ИПВ(17)",7,Јесењи семестар,2 + 0,1,0,0,4и,Милена Вујошевић Јаничић,2,,,0,,,"Методологија научног и стручног рада (ОМ12), 2015",,52,,,,,
Основне академске студије 2015,,Специјални курс,,8,Пролећни семестар,,,,,,,2,,,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Мастер академске студије 2022,Р313,Геометријски алгоритми,"2ИПАИ(15), 2ИПАИ(19), 2ИПБИ(15), 2ИПМРБ(15), ИПБ(22)",9,Јесењи семестар,2 + 3,1,1,0,5ир,Предраг Јаничић,2,5ир-в,Јелена Марковић,3,,,,,34,,,,,
Мастер академске студије 2022,2РМЛ1,Методика наставе рачунарства 2,МЛ.22,9,Јесењи семестар,3 + 2,1,1,0,5мл,Мирослав Марић,3,5мл-в,Владимир Кузмановић,2,,,"Методика наставе рачунарства Ц са практикумом (2РМ01), 2015",,12,,,,,
Мастер академске студије 2022,2РМЛМ1,Образовни софтвер са практикумом,МЛМ.22,9,Јесењи семестар,0 + 2,0,1,0,,,0,5мл-в,Владимир Кузмановић,2,,,,,0,,,,,
Мастер академске студије 2022,Р390,Развој софтвера 2,"2ИПАИ(15), 2ИПАИ(19), 2ИПБИ(15), 2ИПМРБ(15), ИПБ(22)",9,Јесењи семестар,2 + 3,1,1,0,5ир,Владимир Филиповић,2,5ир-в,Иван Ристовић,3,,,,,47,,,,,
Мастер академске студије 2022,О301,ВЛСИ дизајн,"2ИПАИ(15), 2ИПАИ(19), 2ИПБИ(15), 2ИПМРБ(15), ИПБ(22)",9,Јесењи семестар,2 + 3,1,1,0,5ир,Вељко Милутиновић,2,5ир-в,Јелена Марковић,3,,,,,9,,,,,
Мастер академске студије 2022,Р376,Истраживање података у биоинформатици,"2ИПАИ(15), 2ИПБИ(15), 2ИПБИ(19), 2ИПМРБ(15), ИПБ(22)",10,Пролећни семестар,2 + 3,1,1,0,5ир,Ненад Митић,2,5ир-в,Александар Вељковић,3,,,,,10,,,,,
Мастер академске студије 2022,Р312,Криптографија,"2ИПАИ(15), 2ИПБИ(15), 2ИПБИ(19), 2ИПМРБ(15), 2МПБ(22), ИПБ(22)",10,Пролећни семестар,2 + 3,1,1,0,5ир,Миодраг Живковић,2,5ир-в,Александар Вељковић,3,,,,,50,,,,,
Мастер академске студије 2015,Р363,Машинско учење,"2ИПАИ(15), 2ИПБИ(19), 2ИПМП(15), 2ИПМРБ(15)",10,Пролећни семестар,2 + 3,1,2,0,5ир,Младен Николић,2,5ир1,Огњен Милинковић,3,,,,,74,,,,,
,,,,,,2 + 3,1,2,0,,,2,5ир2,Милан Чугуровић,3,,,,,,,,,,
Мастер академске студије 2022,Р309,Увод у биоинформатику,"2ИПАИ(15), 2ИПБИ(15), 2ИПБИ(19), 2ИПМРА(15), 2ИПМРБ(15), 2МПБ(22), ИПА(22)",10,Пролећни семестар,2 + 3,1,1,0,5ир,Јована Ковачевић,2,5ир-в,Александар Вељковић,3,,,,,55,,,,,
Мастер академске студије 2022,Р392,Информациони системи,"2ИПАИ(19), 2ИПМРА(15), 2ИПМРБ(15), И.15, ИПА(22)",9,Јесењи семестар,2 + 3,1,1,0,5ир,Саша Малков,2,5ир-в,Дара Милојковић,3,,,,,27,,,,,
Мастер академске студије 2022,Р310,Конструкција и анализа алгоритама 2,"2ИПАИ(19), 2ИПМРА(15), 2ИПМРБ(15), 2МПБ(22), И.15, ИПА(22)",9,Јесењи семестар,2 + 3,1,1,0,5ир,Миодраг Живковић,2,5ир-в,Јелена Марковић,3,,,,,80,,,,,
Мастер академске студије 2022,Р306,Аутоматско резоновање,"2ИПАИ(19), 2ИПМРА(15), 2ИПМРБ(15), И.15, ИПА(22)",10,Пролећни семестар,2 + 3,1,1,0,5ир,Милан Банковић,2,5ир-в,Иван Дрецун,3,,,,,22,,,,,
